type,measurement,handle,units,projection,notes
Interpreted landslide metrics,Age notes,Agenotes,,,"Information on the dating method, uncertainities, where the sample was taken and any assumptions should be referenced. Here the source of the age should also be referenced. "
Interpreted landslide metrics,Seafloor features,Features,,,"Useful extra information, about seafloor features in vicinity or in association with the landslide depsosit, such as evidence of fluid expulsion (e.g. pockmarks)"
Metadata,Data type,DataType,,,"Data on which the mapping was based - High level statement (e..g. bathymetry, combined bathymetry and geophysics, core, deep seismic). Will be a drop down menu"
Metadata,Data type notes,DataTypeNotes,,,"Data on which the mapping was based - more details can be provided here on combinations of sources (e.g. hull-mounted MBES, AUV data, 2D/3D seismic, sediment cores etc.). This may be a combination of sources"
Metadata,Data source,DataSource,,,Reference to where the data came from e.g. the data provider and the cruise etc. This should include a hyperlink.
Metadata,Data repositories,DataRepo,,,Where can the raw/processed data be found if they are available? This should include a hyperlink if available.
Metadata,Publication source,Pub,,,"Where is the peer-reviewed source? If not, then link to cruise report or equivalent. If not published then this needs to be flagged. This should include a hyperlink."
Metadata,Data Contact Name,ContactName,,,Who is the contact for this dataset?
Metadata,Data Contact Email,ContactEmail,,,Who is the contact for this dataset?
Metadata,Database entry attribution Name,DBContactName,,,Who entered the data in the database?
Metadata,Database entry attribution Email,DBContactEmail,,,Who entered the data in the database?
Metadata,Database entry notes,DBnotes,,,"Any specifics to the data that was entered. For example, was length recalculated from that in the original published material?"
Metadata,Data horiz resolution,DataResH,,,What is the horizontal resolution of the data from which the measuremenets were made?
Metadata,Data vert resolution,DataResV,,,What is the vertical resolution of the data from which the measuremenets were made?
Metadata,Additional notes,Notes,,,Comments on any other information/considerations that should be borne in mind when using these data
